RUTA Y TRANSITO,BANCO,
13,BANCO NACIONAL DE PANAMA,
1575,"BANCO LAFISE PANAMÁ, S.A.",
1384,BAC INTERNATIONAL BANK,
1083,BANCO ALIADO,
1504,BANCO AZTECA,
1562,BANCO DELTA,
1724,BANCO FICOHSA PANAMA,
71,BANCO GENERAL,
1517,BANCO PICHINCHA PANAMA,
1258,CANAL BANK,
1588,BANESCO,
1614,"BANISI, S.A.",
1164,BANK OF CHINA,
1698,BANCO LA HIPOTECARIA,
1397,BCT BANK,
518,BICSA,
2529,CACECHI,
770,CAJA DE AHORROS,
39,CITIBANK,
2532,COEDUCO,
2516,COOESAN,
2503,COOPEDUC,
5005,COOPERATIVA CRISTOBAL,
712,COOPERATIVA DE PROFESIONALES,
2545,COOPEVE0,
1106,CREDICORP BANK,
1151,GLOBAL BANK,
26,BANISTMO S.A.,
1630,MERCANTIL BANK,
1067,METROBANK S.A.,
1478,MMG BANK,
372,MULTIBANK,
1672,PRIVAL BANK,
424,THE BANK OF NOVA SCOTIA,
1494,ST. GEORGES BANK,
408,TOWERBANK,
1708,UNIBANK,
1753,BANCOLOMBIA,
1656,"BBP BANK, S.A.",
5018,"EDIOACC, R.L",
916,"BANCO DEL PACÍFICO (PANAMÁ), S.A.",
1805,ATLAS BANK,
5021,ECASESO,
5034,"COOPRAC, R.L.",
181,DAVIVIENDA,
1782,BIBANK PANAMÁ,
